id,name,score,March 2019 w/ Digital Rights Reviewer,March 2019,February 2019,January 2019,December 2018
823,Pden,TMYUI,35,40,40,24,undefined
823,Pden,DR,42,undefined,undefined,undefined,undefined
832,OI ConvertCSV,Total,53,51,51,42,24
832,OI ConvertCSV,DE,41,41,38,34,19
832,OI ConvertCSV,PH,53,53,49,41,29
832,OI ConvertCSV,TMYUI,1,1,47,46,undefined
832,OI ConvertCSV,DR,42,undefined,undefined,undefined,undefined
1021,MyWhereAbouts,Total,54,53,50,undefined,undefined
1021,MyWhereAbouts,DE,40,40,43,undefined,undefined
1021,MyWhereAbouts,PH,40,40,38,undefined,undefined
1021,MyWhereAbouts,TMYUI,47,52,30,undefined,undefined
1021,MyWhereAbouts,DR,42,undefined,undefined,undefined,undefined
1016,Friendlink,Total,55,55,54,38,undefined
1016,Friendlink,DE,55,55,43,37,undefined
1016,Friendlink,PH,54,54,53,45,undefined
1016,Friendlink,TMYUI,51,55,54,19,undefined
1016,Friendlink,DR,1,undefined,undefined,undefined,undefined
215,Hermes,Total,undefined,undefined,14,17,16
215,Hermes,DE,undefined,undefined,8,8,23
215,Hermes,PH,undefined,undefined,27,22,6
215,Hermes,TMYUI,undefined,undefined,16,15,undefined
215,Hermes,DR,undefined,undefined,undefined,undefined,undefined
833,Healthfundit,Total,undefined,undefined,32,37,28
833,Healthfundit,DE,undefined,undefined,41,36,23
833,Healthfundit,PH,undefined,undefined,36,30,20
833,Healthfundit,TMYUI,undefined,undefined,13,21,undefined
833,Healthfundit,DR,undefined,undefined,undefined,undefined,undefined
1017,Huddle Group,Total,undefined,undefined,36,35,undefined
1017,Huddle Group,DE,undefined,undefined,43,37,undefined
1017,Huddle Group,PH,undefined,undefined,22,16,undefined
1017,Huddle Group,TMYUI,undefined,undefined,26,32,undefined
1017,Huddle Group,DR,undefined,undefined,undefined,undefined,undefined
817,Ourtopia,Total,undefined,undefined,37,29,29
817,Ourtopia,DE,undefined,undefined,32,19,23
817,Ourtopia,PH,undefined,undefined,40,32,22
817,Ourtopia,TMYUI,undefined,undefined,28,6,undefined
817,Ourtopia,DR,undefined,undefined,undefined,undefined,undefined
818,Timski,Total,undefined,undefined,undefined,44,30
818,Timski,DE,undefined,undefined,undefined,37,23
818,Timski,PH,undefined,undefined,undefined,31,23
818,Timski,TMYUI,undefined,undefined,undefined,29,undefined
818,Timski,DR,undefined,undefined,undefined,undefined,undefined
